Year,Race,Sex,LifeExpectancy
1971,All Races,Both Sexes,71.1
1971,All Races,Female,75
1971,All Races,Male,67.4
1971,Black,Both Sexes,64.6
1971,Black,Female,68.9
1971,Black,Male,60.5
1971,White,Both Sexes,72
1971,White,Female,75.8
1971,White,Male,68.3
1972,All Races,Both Sexes,71.2
1972,All Races,Female,75.1
1972,All Races,Male,67.4
1972,Black,Both Sexes,64.7
1972,Black,Female,69.1
1972,Black,Male,60.4
1972,White,Both Sexes,72
1972,White,Female,75.9
1972,White,Male,68.3
1973,All Races,Both Sexes,71.4
1973,All Races,Female,75.3
1973,All Races,Male,67.6
1973,Black,Both Sexes,65
1973,Black,Female,69.3
1973,Black,Male,60.9
1973,White,Both Sexes,72.2
1973,White,Female,76.1
1973,White,Male,68.5
1974,All Races,Both Sexes,72
1974,All Races,Female,75.9
1974,All Races,Male,68.2
1974,Black,Both Sexes,66
1974,Black,Female,70.3
1974,Black,Male,61.7
1974,White,Both Sexes,72.8
1974,White,Female,76.7
1974,White,Male,69
1975,All Races,Both Sexes,72.6
1975,All Races,Female,76.6
1975,All Races,Male,68.8
1975,Black,Both Sexes,66.8
1975,Black,Female,71.3
1975,Black,Male,62.4
1975,White,Both Sexes,73.4
1975,White,Female,77.3
1975,White,Male,69.5
1976,All Races,Both Sexes,72.9
1976,All Races,Female,76.8
1976,All Races,Male,69.1
1976,Black,Both Sexes,67.2
1976,Black,Female,71.6
1976,Black,Male,62.9
1976,White,Both Sexes,73.6
1976,White,Female,77.5
1976,White,Male,69.9
1977,All Races,Both Sexes,73.3
1977,All Races,Female,77.2
1977,All Races,Male,69.5
1977,Black,Both Sexes,67.7
1977,Black,Female,72
1977,Black,Male,63.4
1977,White,Both Sexes,74
1977,White,Female,77.9
1977,White,Male,70.2
1978,All Races,Both Sexes,73.5
1978,All Races,Female,77.3
1978,All Races,Male,69.6
1978,Black,Both Sexes,68.1
1978,Black,Female,72.4
1978,Black,Male,63.7
1978,White,Both Sexes,74.1
1978,White,Female,78
1978,White,Male,70.4
1979,All Races,Both Sexes,73.9
1979,All Races,Female,77.8
1979,All Races,Male,70
1979,Black,Both Sexes,68.5
1979,Black,Female,72.9
1979,Black,Male,64
1979,White,Both Sexes,74.6
1979,White,Female,78.4
1979,White,Male,70.8
1980,All Races,Both Sexes,73.7
1980,All Races,Female,77.4
1980,All Races,Male,70
1980,Black,Both Sexes,68.1
1980,Black,Female,72.5
1980,Black,Male,63.8
1980,White,Both Sexes,74.4
1980,White,Female,78.1
1980,White,Male,70.7
1981,All Races,Both Sexes,74.1
1981,All Races,Female,77.8
1981,All Races,Male,70.4
1981,Black,Both Sexes,68.9
1981,Black,Female,73.2
1981,Black,Male,64.5
1981,White,Both Sexes,74.8
1981,White,Female,78.4
1981,White,Male,71.1
1982,All Races,Both Sexes,74.5
1982,All Races,Female,78.1
1982,All Races,Male,70.8
1982,Black,Both Sexes,69.4
1982,Black,Female,73.6
1982,Black,Male,65.1
1982,White,Both Sexes,75.1
1982,White,Female,78.7
1982,White,Male,71.5
1983,All Races,Both Sexes,74.6
1983,All Races,Female,78.1
1983,All Races,Male,71
1983,Black,Both Sexes,69.4
1983,Black,Female,73.5
1983,Black,Male,65.2
1983,White,Both Sexes,75.2
1983,White,Female,78.7
1983,White,Male,71.6
1984,All Races,Both Sexes,74.7
1984,All Races,Female,78.2
1984,All Races,Male,71.1
1984,Black,Both Sexes,69.5
1984,Black,Female,73.6
1984,Black,Male,65.3
1984,White,Both Sexes,75.3
1984,White,Female,78.7
1984,White,Male,71.8
1985,All Races,Both Sexes,74.7
1985,All Races,Female,78.2
1985,All Races,Male,71.1
1985,Black,Both Sexes,69.3
1985,Black,Female,73.4
1985,Black,Male,65
1985,White,Both Sexes,75.3
1985,White,Female,78.7
1985,White,Male,71.8
1986,All Races,Both Sexes,74.7
1986,All Races,Female,78.2
1986,All Races,Male,71.2
1986,Black,Both Sexes,69.1
1986,Black,Female,73.4
1986,Black,Male,64.8
1986,White,Both Sexes,75.4
1986,White,Female,78.8
1986,White,Male,71.9
1987,All Races,Both Sexes,74.9
1987,All Races,Female,78.3
1987,All Races,Male,71.4
1987,Black,Both Sexes,69.1
1987,Black,Female,73.4
1987,Black,Male,64.7
1987,White,Both Sexes,75.6
1987,White,Female,78.9
1987,White,Male,72.1
1988,All Races,Both Sexes,74.9
1988,All Races,Female,78.3
1988,All Races,Male,71.4
1988,Black,Both Sexes,68.9
1988,Black,Female,73.2
1988,Black,Male,64.4
1988,White,Both Sexes,75.6
1988,White,Female,78.9
1988,White,Male,72.2
1989,All Races,Both Sexes,75.1
1989,All Races,Female,78.5
1989,All Races,Male,71.7
1989,Black,Both Sexes,68.8
1989,Black,Female,73.3
1989,Black,Male,64.3
1989,White,Both Sexes,75.9
1989,White,Female,79.2
1989,White,Male,72.5
1990,All Races,Both Sexes,75.4
1990,All Races,Female,78.8
1990,All Races,Male,71.8
1990,Black,Both Sexes,69.1
1990,Black,Female,73.6
1990,Black,Male,64.5
1990,White,Both Sexes,76.1
1990,White,Female,79.4
1990,White,Male,72.7
1991,All Races,Both Sexes,75.5
1991,All Races,Female,78.9
1991,All Races,Male,72
1991,Black,Both Sexes,69.3
1991,Black,Female,73.8
1991,Black,Male,64.6
1991,White,Both Sexes,76.3
